heavy_green_glass,0,7018793.142853458,9292428.01443489,9309690.231570367,8702790.944205869,1316313.519633602,2860494.8715617675,1468305.8917162041,4156094.9619620927,7432331.29411766,7958092.235294156,9211977.882352954,7123321.411764707
heavy_green_glass,1,7324967.380169406,9230400.366065145,9869258.704030909,8835169.555766847,1275445.927747395,3413205.759609786,1386971.5880758679,4579887.1135176625,8124375.529411774,7981970.823529406,1.0203408000000019E7,7353303.529411774
heavy_green_glass,2,1.0003107696334828E7,1.238973371206956E7,1.222764914717284E7,1.3802753103485094E7,2063265.4818317138,3953418.0077406494,2342724.2217807462,5210382.373226897,8186669.647058824,9194443.764705941,1.0335526588235296E7,8957460.705882339
heavy_green_glass,3,8008176.860426927,1.051076274036861E7,1.0919500092650633E7,9764186.305440407,1608220.4632103117,3607641.356284833,1918247.7535438216,5045016.630112559,8295945.882352941,8730948.705882384,1.0284440470588243E7,7736182.588235294
heavy_green_beans,0,6972410.479967967,9585970.5784995,8834222.650973467,9692510.735519055,1543820.2370716734,3071914.2365260804,1760443.423424495,4145401.2879549135,7481555.294117663,8717566.588235317,9193204.235294128,7879017.88235294
heavy_green_beans,1,7377012.938629145,9577282.121052314,9386774.766439991,9155146.080996253,1412428.17399903,3162933.2513815477,1511667.654726284,4347337.883651001,7890433.411764712,8337751.058823548,9817571.29411766,7411153.411764712
heavy_green_beans,2,8494208.067981416,1.117186185102764E7,1.0484668613589274E7,1.2642712004221937E7,2091401.9437511778,3484450.8342462457,2174984.4398468337,4466184.078467222,6861648.000000006,8196272.470588282,9024266.82352941,8622055.058823515
heavy_green_beans,3,8328760.874110608,1.0731971316494577E7,1.0612401004944157E7,1.0707918306698564E7,1827834.3579774462,3620114.926447436,1977516.2541501042,4724523.414898768,7924967.999999999,8761478.11764706,9927591.529411765,8121535.058823534
heavy_green_rice,0,6722233.107745823,9570514.490926525,8501143.98327848,9810173.716198074,1741088.4874707158,3024124.060291115,1842082.7067316347,4114411.665623187,7040568.000000012,8596699.764705896,9040843.764705893,8522888.470588243
heavy_green_rice,1,7464569.928401178,1.0079802780099243E7,9312362.158654645,9797407.928670371,1663035.598365952,3257827.7073106808,1854197.985386604,4533299.194986119,7874586.352941192,9103641.882352956,9797220.705882367,8459590.588235289
heavy_green_rice,2,9022160.571213998,1.2470475697606022E7,9985944.399410719,1.28152161297093E7,2212423.948760768,3481699.802022249,2622569.535315072,4942989.291615969,7399584.000000012,9706951.058823554,8852968.941176469,8627549.647058822
heavy_green_rice,3,8002718.393359156,9866283.374513038,1.051296886268537E7,8925455.605318716,1297501.0317836497,3562417.287943904,1652154.4689119842,5338667.063838571,8377907.294117631,8420419.764705872,1.0222200000000019E7,6309196.23529412
medium_blue_beans,0,7740890.909718774,1.023124545937389E7,1.2759137786371432E7,1.5223059779552922E7,1551161.038206297,3394307.6188104926,2024381.7261899882,6077891.759137625,8438140.235294107,9169408.941176476,1.0592246117647037E7,8518036.235294111
medium_blue_beans,1,7558756.784462902,9579265.067729473,1.1976368178449579E7,1.4268960240321208E7,1461853.7545358075,3226446.4592003776,1747806.8752625978,5451251.575204044,7725007.058823542,8133478.588235314,9904750.58823531,8380355.294117655
medium_blue_beans,2,9793953.327727988,1.176407929794282E7,1.3189461946888672E7,1.629475976072697E7,1735971.773230558,3977815.166531741,2173415.315741198,6490296.505499813,8314894.588235307,8396803.764705945,1.05946334117647E7,8342651.294117647
medium_blue_beans,3,7640273.171170462,1.0135372450131722E7,1.2162424047625253E7,1.4565289977160228E7,1678138.1767856919,3546810.065552789,2116871.0951088667,6000752.941104067,7342521.8823529715,8082249.882352927,9543012.70588234,8062046.117647058
light_blue_screws,0,1.0031100253013678E7,1.2379338356733546E7,1.3685035480610255E7,1.759493319786449E7,1989389.5106466238,4114244.311544588,2508101.106737639,6593885.985574976,8196213.176470602,8840522.823529417,1.0230828705882365E7,8311564.235294122
