@relation aggregateResults

@attribute ROWS_COLS {ROWS_ONLY,COLS_ONLY,BOTH}
@attribute FUNCTION {RawDistances,ClusterDiff,Pruning}
@attribute NUM_CONTEXTS numeric
@attribute NUM_CANDIDATES numeric
@attribute DIFFICULTY_TYPE {Averaged,Same,Increment,Decrement,Permutation,[contents],[weight],[color],~[contents],~[weight],~[color],Same:contents,IncrementPattern:weight,DecrementPattern:weight,Different:color,Same:color,Same:weight,Different:contents,'2 patterns','3 patterns','4 patterns','5 patterns','6 patterns','7 patterns'}
@attribute ACCURACY numeric
@attribute STD_DEV numeric

@data
ROWS_ONLY,RawDistances,2,3,Increment,0.56129,0.139194
ROWS_ONLY,RawDistances,2,4,Same,0.409245,0.097945
ROWS_ONLY,RawDistances,2,5,Averaged,0.33511,0.090869
BOTH,ClusterDiff,1,2,Same,0.646556,0.101887
BOTH,ClusterDiff,1,3,Averaged,0.431143,0.126622
ROWS_ONLY,ClusterDiff,3,2,Same,0.744322,0.084356
ROWS_ONLY,ClusterDiff,3,3,Averaged,0.55986,0.113289
ROWS_ONLY,ClusterDiff,2,2,Increment,0.743992,0.13887
ROWS_ONLY,ClusterDiff,2,3,Same,0.510033,0.131783
ROWS_ONLY,ClusterDiff,2,4,Averaged,0.45621,0.11878
COLS_ONLY,RawDistances,2,2,Increment,0.694234,0.113575
COLS_ONLY,RawDistances,2,3,Same,0.46546,0.09896
COLS_ONLY,RawDistances,2,4,Averaged,0.38144,0.094063
ROWS_ONLY,RawDistances,4,2,Same,0.678195,0.080471
ROWS_ONLY,RawDistances,4,3,Averaged,0.51649,0.079499
ROWS_ONLY,RawDistances,3,2,Increment,0.763992,0.125362
ROWS_ONLY,RawDistances,3,3,Same,0.518928,0.092801
ROWS_ONLY,RawDistances,3,4,Averaged,0.43045,0.089413
COLS_ONLY,RawDistances,1,2,Decrement,0.549165,0.153246
COLS_ONLY,RawDistances,1,3,Increment,0.441244,0.124548
COLS_ONLY,RawDistances,1,4,Same,0.335626,0.089797
COLS_ONLY,RawDistances,1,5,Averaged,0.27419,0.07873
COLS_ONLY,Pruning,2,2,Averaged,0.68432,0.091537
COLS_ONLY,ClusterDiff,2,2,Same,0.697123,0.097077
COLS_ONLY,ClusterDiff,2,3,Averaged,0.49599,0.121585
ROWS_ONLY,Pruning,3,2,Averaged,0.73233,0.080792
ROWS_ONLY,RawDistances,5,2,Averaged,0.69458,0.067123
ROWS_ONLY,ClusterDiff,4,2,Averaged,0.75069,0.086547
ROWS_ONLY,Pruning,1,5,Averaged,0.326762,0.112065
ROWS_ONLY,Pruning,1,4,Same,0.39231,0.115819
ROWS_ONLY,Pruning,1,3,Increment,0.40553,0.174521
ROWS_ONLY,Pruning,1,2,Decrement,0.674397,0.144081
COLS_ONLY,ClusterDiff,1,5,Averaged,0.326,0.109672
COLS_ONLY,ClusterDiff,1,4,Same,0.390226,0.115981
COLS_ONLY,ClusterDiff,1,3,Increment,0.39977,0.173032
COLS_ONLY,ClusterDiff,1,2,Decrement,0.671923,0.145136
ROWS_ONLY,RawDistances,1,7,Averaged,0.225619,0.07596
ROWS_ONLY,RawDistances,1,6,Same,0.260602,0.082718
ROWS_ONLY,RawDistances,1,5,Increment,0.334485,0.140716
